Ufd1f04f06922cb1cdfca56bd27be6c6:34.1220001,134.390001
Ufd1f04f06922cb1cdfca56bd27be6c6b:34.122047,134.398302
Ufd1f04f06922cb1cdfca56bd27be6c6b:34.10811,134.397962
Ufd1f04f06922cb1cdfca56bd27be6c6b:34.07292,134.382414
Ufd1f04f06922cb1cdfca56bd27be6c6b:34.083209,134.387967
Ufd1f04f06922cb1cdfca56bd27be6c6b:33.451663,134.428507
Ufd1f04f06922cb1cdfca56bd27be6c6b:34.122047,134.398302
Ufd1f04f06922cb1cdfca56bd27be6c6b:34.048899,134.423339
Ufd1f04f06922cb1cdfca56bd27be6c6b:33.617673,134.397338
Ufd1f04f06922cb1cdfca56bd27be6c6b:34.121687,134.346307
Ufd1f04f06922cb1cdfca56bd27be6c6b:34.122002,134.398355
Ufd1f04f06922cb1cdfca56bd27be6c6b:34.119613,134.386316
Ufd1f04f06922cb1cdfca56bd27be6c6b:34.108457,134.370565
Ufd1f04f06922cb1cdfca56bd27be6c6b:34.071911,134.440409
Ufd1f04f06922cb1cdfca56bd27be6c6b:34.121903,134.398285
